IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
136.175.176.49,20443,TRUE,US,US,North America,San Jose,906,DMIT,90,78.61
193.9.46.16,8443,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,320,75.85
2.59.151.192,38135,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,346,67.77
91.217.139.227,8443,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,323,67.69
2.59.151.232,15110,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,323,67.68
202.91.35.39,448,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,332,66.84
20.38.168.166,16666,TRUE,US,US,North America,San Jose,8075,MICROSOFT-CORP-MSN-AS-BLOCK,344,63.91
103.94.185.180,31005,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,328,62.37
193.22.152.98,34237,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,314,61.42
152.67.234.175,44333,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,248,52.17
20.168.54.251,443,TRUE,US,US,North America,Los Angeles,8075,MICROSOFT-CORP-MSN-AS-BLOCK,106,49.38
91.217.139.94,34237,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,414,49.12
38.147.165.204,25565,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,383,45.86
165.1.65.220,55200,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,231,45.38
2.59.151.75,57883,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,422,44.43
185.201.227.65,25727,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,339,42.07
184.169.181.217,443,TRUE,US,US,North America,San Jose,16509,AMAZON-02,248,40.85
52.13.18.181,8880,TRUE,US,US,North America,Seattle,16509,AMAZON-02,150,35.99
129.146.71.213,10102,TRUE,US,US,North America,Los Angeles,31898,ORACLE-BMC-31898,263,35.41
54.201.19.60,443,TRUE,US,US,North America,Seattle,16509,AMAZON-02,214,35.07
35.165.253.141,443,TRUE,US,US,North America,Seattle,16509,AMAZON-02,275,33.95
129.159.47.165,59315,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,738,32.11
99.83.209.185,443,TRUE,US,US,North America,Ashburn,16509,AMAZON-02,823,31.51
13.57.182.91,443,TRUE,US,US,North America,San Jose,16509,AMAZON-02,646,31.21
75.2.32.4,443,TRUE,US,US,North America,Ashburn,16509,AMAZON-02,790,31.01
4.255.56.137,443,TRUE,US,US,North America,Ashburn,8075,MICROSOFT-CORP-MSN-AS-BLOCK,625,30.75
52.24.42.114,2087,TRUE,US,US,North America,Seattle,16509,AMAZON-02,184,30.32
4.255.56.138,443,TRUE,US,US,North America,Ashburn,8075,MICROSOFT-CORP-MSN-AS-BLOCK,438,29.48
20.106.123.66,2053,TRUE,US,US,North America,Los Angeles,8075,MICROSOFT-CORP-MSN-AS-BLOCK,141,29.39
165.1.68.91,9443,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,116,28.61
144.24.47.59,28443,TRUE,US,US,North America,Los Angeles,31898,ORACLE-BMC-31898,1041,26.82
129.159.83.88,8443,TRUE,US,US,North America,Ashburn,31898,ORACLE-BMC-31898,1049,25.35
54.185.82.224,443,TRUE,US,US,North America,Seattle,16509,AMAZON-02,450,24.82
204.110.220.3,443,TRUE,US,US,North America,Seattle,16509,AMAZON-02,407,24.75
154.64.243.100,22785,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,126,24.15
13.57.206.173,443,TRUE,US,US,North America,San Jose,16509,AMAZON-02,239,24
158.179.189.106,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1031,23.63
158.179.189.235,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1112,23.55
132.226.5.76,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1037,23.35
151.145.71.40,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1193,23.31
168.138.211.131,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1041,23.14
129.159.39.1,34237,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,142,23.04
138.2.14.164,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,710,22.81
141.147.183.49,29876,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1140,22.54
168.138.206.109,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1108,22.42
216.38.168.34,16384,TRUE,US,US,North America,Los Angeles,40065,CNSERVERS,337,22.3
158.101.65.24,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1112,22.13
168.138.205.38,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,907,22.02
129.213.11.8,11704,TRUE,US,US,North America,Ashburn,31898,ORACLE-BMC-31898,592,21.97
158.179.180.109,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1091,21.97
138.2.237.178,58449,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,138,21.75
168.138.213.1,50009,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1113,21.74
138.2.24.114,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,869,21.72
168.138.195.31,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1100,21.66
158.179.190.253,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1004,21.64
138.2.231.22,33333,TRUE,US,US,North America,San Jose,31898,ORACLE-BMC-31898,285,21.62
155.248.169.25,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1019,21.59
140.238.58.42,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1036,21.54
141.147.164.153,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,645,21.3
155.248.168.251,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,658,21.28
140.83.35.10,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,861,21.16
129.153.132.114,46000,TRUE,US,US,North America,Ashburn,31898,ORACLE-BMC-31898,1114,21.01
8.209.243.172,8443,TRUE,JP,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",1027,20.97
151.145.69.174,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1008,20.97
150.230.205.56,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,768,20.91
158.179.188.175,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1019,20.79
140.238.50.32,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1106,20.64
