IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
3.1.72.23,8080,0,false,ORD,North America,Chicago,8,0.00
3.1.72.23,2096,0,false,ORD,North America,Chicago,8,0.00
18.141.162.234,2096,0,false,ORD,North America,Chicago,8,0.00
3.1.72.23,2087,0,false,ORD,North America,Chicago,8,0.00
18.142.146.14,8080,0,false,ORD,North America,Chicago,9,0.00
3.1.72.23,2083,0,false,ORD,North America,Chicago,9,0.00
18.141.168.148,2087,0,false,ORD,North America,Chicago,9,0.00
18.142.116.165,8443,0,false,ORD,North America,Chicago,9,0.00
18.141.168.148,443,0,false,ORD,North America,Chicago,9,0.00
18.142.136.105,8443,0,false,ORD,North America,Chicago,10,0.00
18.142.115.193,2095,0,false,ORD,North America,Chicago,10,0.00
18.142.115.193,8080,0,false,ORD,North America,Chicago,10,0.00
18.142.146.14,2086,0,false,ORD,North America,Chicago,10,0.00
18.141.168.148,80,0,false,ORD,North America,Chicago,10,0.00
18.141.162.234,2087,0,false,ORD,North America,Chicago,10,0.00
18.142.146.14,80,0,false,ORD,North America,Chicago,10,0.00
18.142.115.193,8443,0,false,ORD,North America,Chicago,10,0.00
3.1.72.23,8443,0,false,ORD,North America,Chicago,10,0.00
18.142.116.165,8880,0,false,ORD,North America,Chicago,10,0.00
18.141.162.234,2086,0,false,ORD,North America,Chicago,10,0.00
3.1.72.23,2095,0,false,ORD,North America,Chicago,10,0.00
18.142.115.193,2052,0,false,ORD,North America,Chicago,10,0.00
18.141.168.148,8443,0,false,ORD,North America,Chicago,11,0.00
18.142.136.105,2082,0,false,ORD,North America,Chicago,11,0.00
18.142.116.165,2082,0,false,ORD,North America,Chicago,11,0.00
18.141.162.234,2082,0,false,ORD,North America,Chicago,11,0.00
3.1.72.23,2086,0,false,ORD,North America,Chicago,11,0.00
18.138.240.50,2083,0,false,ORD,North America,Chicago,11,0.00
3.1.72.23,80,0,false,ORD,North America,Chicago,11,0.00
13.212.107.149,2053,0,false,ORD,North America,Chicago,11,0.00
18.141.162.234,2052,0,false,ORD,North America,Chicago,12,0.00
18.142.115.193,80,0,false,ORD,North America,Chicago,12,0.00
18.141.162.234,80,0,false,ORD,North America,Chicago,13,0.00
3.1.72.23,2082,0,false,ORD,North America,Chicago,13,0.00
18.141.168.148,2082,0,false,ORD,North America,Chicago,13,0.00
18.142.136.105,8080,0,false,ORD,North America,Chicago,13,0.00
18.142.115.193,2082,0,false,ORD,North America,Chicago,13,0.00
18.141.168.148,2086,0,false,ORD,North America,Chicago,14,0.00
